Feature,VIF
rtu_003_sat_sp_tn,28824.196641929106
rtu_004_sat_sp_tn,24849.37911011225
rtu_002_sat_sp_tn,23953.118823134442
cerc_templogger_13,12686.732804285537
cerc_templogger_4,8071.046601518543
cerc_templogger_10,7671.929025602234
aru_001_cws_temp,7137.912805764381
cerc_templogger_9,6683.584644114889
cerc_templogger_14,6503.946796472407
rtu_001_sat_sp_tn,6256.850380358231
cerc_templogger_8,5390.765720550243
aru_001_hwr_temp,4676.526720506258
aru_001_hws_temp,4038.9041521852237
cerc_templogger_11,2681.7066973577107
cerc_templogger_5,2642.56851651263
cerc_templogger_1,2541.086836502964
cerc_templogger_6,2457.341179515538
cerc_templogger_16,2216.8851132794007
aru_001_cwr_temp,2166.4086281934483
cerc_templogger_3,1482.864102532958
cerc_templogger_7,1468.2809983981394
cerc_templogger_2,1425.9334281674337
cerc_templogger_12,1232.7395215169204
aru_001_cws_fr_gpm,585.16753541594
rtu_003_fltrd_sa_flow_tn,511.2372532526138
air_temp_set_1,394.1135214812356
rtu_004_fltrd_sa_flow_tn,351.73488357545483
rtu_001_fltrd_sa_flow_tn,334.4187721193299
air_temp_set_2,326.1865338234859
data_zone_temp_sp_c,257.84427000302384
aru_001_hws_fr_gpm,210.16058752901804
data_zone_temp_sp_h,207.8671228115004
cerc_templogger_15,182.20642434683833
relative_humidity_set_1,168.60544391686273
rtu_002_fltrd_sa_flow_tn,55.35132772962491
dew_point_temperature_set_1d,28.78572494320975
solar_radiation_set_1,5.031642899325727
